Instances,,,CAmpactor,,,,CAmpactor-Short,,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,HHSA,,,,CASA,,,,ACTS,,,,CTLog,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
olpcl2294,,48,50.1,280.4750,,86,88.5,41.6380,,107,110.1,33.3740,,91,93.4,52.8100,,90,93.6,157.6520,,101,104.5,41.6380,,-,-,-,,-,-,-,,-,-,-,,-,-,-
p2106,,43,45.2,275.0970,,79,82.1,37.1610,,101,103.1,30.0330,,83,86.9,48.6200,,83,86.6,196.6410,,96,97.9,37.1610,,-,-,-,,-,-,-,,-,-,-,,-,-,-
pati,,43,44.7,298.1170,,76,78.8,37.6180,,98,102.0,29.5810,,80,83.8,312.4420,,80,84.4,416.6340,,91,96.3,37.6180,,-,-,-,,-,-,-,,-,-,-,,-,-,-
pc_i82544,,48,49.8,314.1760,,82,84.7,44.3350,,107,109.9,32.5060,,89,93.9,50.3950,,91,93.7,342.6880,,98,104.2,44.3350,,-,-,-,,-,-,-,,-,-,-,,-,-,-
pc_i82559,,47,49.4,316.9590,,84,87.8,42.4250,,108,112.3,33.0710,,92,94.4,381.6780,,92,94.2,169.5740,,98,106.4,42.4250,,-,-,-,,-,-,-,,-,-,-,,-,-,-
pc_rltk8139,,53,55.0,306.3100,,87,92.2,43.2420,,112,116.6,34.5800,,93,98.5,60.1860,,94,98.5,114.8330,,104,110.0,43.2420,,-,-,-,,-,-,-,,-,-,-,,-,-,-
pc_usb_d12,,45,47.1,278.8120,,78,81.1,41.9110,,102,105.8,32.3510,,82,89.2,46.7030,,82,88.8,545.6600,,95,100.2,41.9110,,-,-,-,,-,-,-,,-,-,-,,-,-,-
pc_vmWare,,46,49.3,348.9530,,89,93.4,38.0310,,106,110.2,32.4610,,89,92.8,60.3500,,88,92.7,426.9250,,100,106.0,38.0310,,-,-,-,,-,-,-,,-,-,-,,-,-,-
phycore,,43,45.4,325.8150,,75,78.1,42.2390,,101,103.6,31.6540,,83,86.0,49.9430,,83,85.7,327.6130,,91,97.4,42.2390,,-,-,-,,-,-,-,,-,-,-,,-,-,-
phycore229x,,48,49.7,313.9900,,85,88.4,48.2030,,107,110.7,37.8380,,89,92.5,81.2460,,89,92.7,486.1940,,99,105.2,48.2030,,-,-,-,,-,-,-,,-,-,-,,-,-,-
