Instances,,,AutoCCAG (using SamplingCA as its initialization algorithm),,,,AutoCCAG (using its original initialization algorithm),,,,FastCA (using SamplingCA as its initialization algorithm),,,,FastCA (using its original initialization algorithm),,,,TCA (using SamplingCA as its initialization algorithm),,,,TCA (using its original initialization algorithm),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
pid,,80,85.1,414.5290,,163,173.6,1599.0990,,82,84.9,497.2340,,165,174.6,1455.9420,,93,97.3,35.5460,,198,207.5,872.9370
prpmc1100,,78,83.7,666.0150,,150,165.1,1509.2030,,81,83.9,366.4060,,154,165.7,1205.4700,,90,94.8,40.5160,,185,200.7,852.1330
psim,,76,81.1,426.4190,,149,152.4,932.0980,,76,81.2,455.7260,,148,151.8,1174.5840,,84,91.9,36.9480,,176,185.1,741.9090
rattler,,90,95.2,367.2140,,179,188.4,1576.6610,,90,95.9,440.8000,,180,188.4,1455.7990,,104,109.9,47.8270,,212,224.6,1085.8900
ref4955,,79,84.7,288.7730,,163,170.3,1699.7010,,80,84.9,197.2470,,163,170.8,1126.8050,,93,95.6,36.5500,,185,200.6,831.1560
refidt334,,89,94.5,676.9860,,179,194.2,1665.7260,,88,94.0,478.4870,,179,194.3,1346.3560,,101,106.6,43.2730,,224,234.2,979.7950
sa1100mm,,81,84.9,630.1640,,158,167.8,1538.3890,,80,84.7,355.5400,,158,167.8,1172.8810,,91,96.0,38.0430,,191,201.5,858.4210
sam7ex256,,91,93.5,432.6910,,170,185.5,1763.0210,,91,93.5,177.0940,,170,186.2,1453.5180,,102,104.5,45.9090,,217,226.6,1101.4930
se7751,,97,100.8,350.8500,,182,194.9,1699.2830,,97,101.0,230.2010,,182,195.3,1506.4980,,110,114.0,42.2760,,230,239.3,1022.1340
sh4_202_md,,93,97.8,198.0860,,173,185.7,1507.5830,,94,98.0,446.0760,,174,185.8,1213.2350,,103,108.1,43.3860,,218,228.7,940.7180
sh7708,,101,105.8,95.2330,,197,206.8,1675.7430,,102,106.0,445.0050,,197,207.2,2551.5510,,113,117.3,46.4250,,234,242.5,1351.2090
skmb91302,,81,83.5,418.1040,,153,158.9,1426.0790,,80,83.1,287.9260,,153,159.2,1099.7290,,92,94.5,36.6730,,178,189.3,794.9470
sleb,,78,81.4,322.6780,,151,158.8,1468.4950,,78,81.4,457.7000,,151,158.6,1287.6800,,90,93.5,34.1270,,187,194.6,765.2690
smdk2410,,102,106.6,134.6150,,204,212.6,2468.6410,,104,106.8,755.0530,,204,212.8,3222.3790,,110,118.8,47.6100,,240,249.8,1659.1090
snds,,86,89.0,530.7670,,164,175.9,1437.4220,,84,88.3,353.7730,,165,176.4,1180.7540,,98,102.0,37.3370,,193,211.3,837.9120
sparc_erc32,,78,81.2,753.2070,,141,154.6,1184.8090,,78,81.4,537.6710,,140,154.4,1256.6670,,88,93.0,32.1260,,169,186.7,701.5920
sparc_leon,,78,82.4,47.0270,,142,153.7,1124.1080,,78,82.1,539.4840,,147,154.3,952.3070,,90,92.7,32.9650,,178,187.2,698.6440
sparclite_sim,,80,82.7,47.9850,,142,155.5,1324.6710,,80,83.4,117.0150,,143,155.8,1061.4780,,88,94.0,32.6280,,173,187.0,727.4440
stb,,83,86.3,207.0410,,165,170.8,1351.0270,,82,86.2,401.8740,,164,171.2,1220.4960,,97,99.6,37.5380,,192,204.7,901.4400
stdeval1,,81,85.6,118.5990,,163,172.7,1527.4490,,82,85.4,345.2040,,165,172.9,1073.3720,,91,97.1,35.3360,,198,206.3,773.1780
stm3210e_eval,,82,85.4,574.3930,,154,169.3,1352.5590,,82,86.0,158.6220,,154,169.6,1208.6280,,92,95.0,43.0040,,186,205.1,926.1310
toybox,,16,16.1,0.8730,,16,18.7,10.1190,,16,16.1,0.9450,,16,18.7,10.1030,,16,16.1,0.9380,,16,18.7,10.2200
ts1000,,86,91.2,60.5880,,171,178.4,1385.7140,,87,90.9,210.0460,,171,178.2,1302.8530,,97,104.9,41.8040,,206,218.7,1003.4070
ts6,,86,88.2,61.1350,,168,179.7,1217.1550,,85,89.5,251.1510,,168,178.9,1301.3850,,94,102.0,39.5940,,207,215.8,892.2020
tx39_sim,,78,80.8,728.5890,,141,151.0,1067.4060,,78,81.6,280.3150,,140,151.1,1297.7870,,89,92.5,33.7770,,174,186.1,734.6430
uClinux-config,,64,65.4,1856.4670,,-,-,-,,64,65.4,1613.2770,,-,-,-,,64,65.4,1856.0990,,-,-,-
uClinux,,21,21.6,15.3630,,22,23.1,276.3180,,21,21.6,15.0830,,22,23.1,256.2510,,21,21.6,14.3130,,22,23.1,261.3430
uE250,,86,89.0,946.6310,,169,177.2,1607.9060,,84,88.6,173.6650,,168,177.7,1483.0450,,94,100.1,39.7340,,194,212.1,929.7840
vads,,84,89.3,338.2630,,174,185.3,1566.3050,,83,88.9,547.0620,,174,185.2,1151.4240,,98,102.0,38.4040,,211,223.7,897.0020
viper,,85,88.9,64.3770,,176,185.1,1480.0520,,85,89.4,167.0040,,177,185.9,1324.5620,,94,103.0,43.7960,,212,222.3,1019.9890
vrc4373,,82,84.4,131.2830,,158,164.0,1520.7320,,81,84.2,126.7000,,158,164.5,1135.0870,,94,97.4,39.6790,,189,198.0,862.3530
vrc4375,,89,91.9,98.8160,,169,176.6,1595.2120,,89,91.4,364.7150,,171,177.3,1140.4070,,99,104.0,39.5080,,206,214.4,925.5410
AVERAGE,,82.8387096774194,86.6,377.9411,,162.479674796748,172.245528455285,1521.9458,,82.8951612903226,86.7,357.2389,,162.821138211382,172.50487804878,1393.2267,,93.3629032258065,98.1,52.6662,,196.30081300813,207.924390243902,918.9897
